item_name,item_image_url
Roasted Peppers And Mushroom Tortilla Pizza Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/pizza-recipes/Roasted_peppers_and_Mushroom_Tortilla_Pizza_36e2d25572.jpg
Thakkali Gotsu Recipe | Thakkali Curry | Spicy & Tangy Tomato Gravy,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Tomato_Gotsu_recipe_eb4b748a4e.jpg
Spicy Grilled Pineapple Salsa Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/mexican-recipes/Spicy_Grilled_Pineapple_Salsa_Recipe_1_dfd8526ed8.jpg
Karwar Style Dali Thoy Recipe - Toor dal Curry,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-curry-recipes/Dali_Thoy_Karwar_Toor_dal_Curry_91cc3fb647.jpg
Rajma Kofta In Milk And Poppy Seed Gravy Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/north-indian-vegetarian-recipes/kofta-recipes/Rajma_Kofta_in_Milk_and_Poppy_Seed_Gravy_d218bc7e5d.jpg
Barnyard Millet Mushroom Biryani Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-rice-recipes/biryani-recipes/Barnyard_Millet_Mushroom_Biryani_Recipe_1_b123a26a87.jpg
Mexican Green Sauce Recipe ,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/homemade-jams-sauce-pesto-recipes/Mexican_Green_Sauce_Recipe_5813a09e5f.jpg
Karnataka Style Avarekalu Chitranna Recipe (Field Beans Tossed With Lemon Rice),https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/indian/main-course/indian-rice-recipes/variety-rice-mixed-rice-flavoured-rice-recipes/Karnataka_Style_Avarekalu_Chitranna_Recipe_Field_Beans_Tossed_With_Lemon_Rice_09cad001cc.jpg
Schezwan Style Chinese Veg Samosa Recipe - Roz Ka Khana with Figaro Olive Oil,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/world-recipes/indian-chinese-recipes/13_short_format_Sichuan_Style_Chinese_Veg_Samosa_Figaro_Olive_Oil_3_c1ef03bac6.jpg
Pineapple Upside Down Cake Recipe,https://storage.googleapis.com/ak_strapi_cms_gcp/images/recipes/cake-recipes/Pineapple_Upside_down_cake_recipe_1_faa6a19b02.jpg
